Номер варианта;ID;INCOME_BASE_TYPE;CREDIT_PURPOSE;INSURANCE_FLAG;DTI;SEX;FULL_AGE_CHILD_NUMBER;DEPENDANT_NUMBER;EDUCATION;EMPL_TYPE;EMPL_SIZE;BANKACCOUNT_FLAG;Period_at_work;age;EMPL_PROPERTY;EMPL_FORM;FAMILY_STATUS;max90days;max60days;max30days;max21days;max14days;avg_num_delay;if_zalog;num_AccountActive180;num_AccountActive90;num_AccountActive60;Active_to_All_prc;numAccountActiveAll;numAccountClosed;sum_of_paym_months;all_credits;Active_not_cc;own_closed;min_MnthAfterLoan;max_MnthAfterLoan;dlq_exist;thirty_in_a_year;sixty_in_a_year;ninety_in_a_year;thirty_vintage;sixty_vintage;ninety_vintage
1;1001201;personal income tax 2NDFL;Repair;1;0.59;female;0;0;Higher;middle manager;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1001221;Receipt of salary in the account;Repair;0;0.3;male;0;0;average;specialist;>250;0;39;32;Other;closed joint stock company (ЗАО);married;0;0;0;0;0;0.0392156863;0;1;0;0;0.1666666667;1;5;49;6;1;4;3;23;1;0;0;0;0;0;0
1;1001241;Bank form (without the employer's seal);Repair;1;0.58;female;0;0;average-специальное;worker;>=100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1001261;personal income tax 2NDFL;Purchase of household appliances;1;0.35;female;0;0;Higher;Sales Manager;< 50;1;26;26;Building;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1001281;Bank form (without the employer's seal);Purchase of real estate / construction;1;0.56;male;0;0;Higher / Second higher / Academic degree;specialist;>=100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1001301;Receipt of salary in the account;Repair;1;0.26;male;2;0;Higher;middle manager;>250;1;206;42;Information Technology;Public corporation (ОАО);married;0;0;0;0;0;0.0276243094;1;1;0;0;0.4444444444;4;5;176;9;2;1;5;80;1;0;0;0;0;0;0
1;1001321;Receipt of salary in the account;Buying a car;1;0.32;female;2;0;average-специальное;support staff;>250;0;78;40;Other;Limited Liability Company   (ООО);married;2;1;1;1;1;0.0304878049;1;0;0;0;0.3333333333;2;4;159;6;1;2;13;92;1;0;0;0;0;0;0
1;1001341;Receipt of salary in the account;Vacation;1;0.45;female;0;0;Higher;specialist;>250;1;23;45;Other;Limited Liability Company   (ООО);single, not married;1;1;0;0;0;0;0;1;1;1;1;3;0;17;3;1;0;1;17;0;0;0;0;0;0;0
1;1001361;personal income tax 2NDFL;Purchase of real estate / construction;0;0.33;female;0;0;Higher;specialist;>250;0;46;39;Information Technology;Public corporation (ОАО);married;0;0;0;0;0;0;1;0;0;0;0;1;0;36;1;1;0;92;92;0;0;0;0;0;0;0
1;1001381;personal income tax 2NDFL;Buying a car;1;0.19;female;0;0;average;support staff;>250;0;10;37;Other;State enterprise;single, not married;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1001401;Receipt of salary in the account;Repair;1;0.39;male;0;0;average-специальное;Sales Representative;>250;0;60;25;Trade;Public corporation (ОАО);single, not married;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;
1;1001421;Receipt of salary in the account;Repair;0;0.34;female;1;0;secondHigher;specialist;>250;0;104;31;Information Technology;Public corporation (ОАО);married;0;0;0;0;0;0;0;2;0;0;0.5;3;3;71;6;2;1;4;53;0;0;0;0;0;0;0
1;1001441;;Buying a car;0;;male;0;0;Higher;other;;1;12;26;Finance;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1001461;personal income tax 2NDFL;Repair;0;0.45;male;2;0;Higher;specialist;>250;0;72;31;Production;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1001481;Bank form (without the employer's seal);Buying a car;0;0.31;male;1;0;unfinished Higher;middle manager;>250;0;10;31;public service;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1001501;personal income tax 2NDFL;Repair;0;;male;1;0;Higher;other;;1;74;40;Finance;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1001521;Receipt of salary in the account;Vacation;1;0.16;male;1;0;average;worker;>250;0;28;23;Trade;closed joint stock company (ЗАО);divorced / divorced;1;1;1;1;1;0;0;0;0;0;0.3333333333;1;2;24;3;1;0;7;23;0;0;0;0;0;0;0
1;1001541;Free form with the seal of the employer;Обучение;1;0.52;female;3;0;Higher / Second higher / Academic degree;specialist;< 50;0;13;41;Transport;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1001561;Free form with the seal of the employer;Purchase of real estate / construction;1;0.42;female;1;0;secondHigher;specialist;>100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1001581;Receipt of salary in the account;Purchase of real estate / construction;1;0.49;female;2;0;average-специальное;support staff;>=200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1001601;personal income tax 2NDFL;Repair;0;0.45;female;0;0;Higher;middle manager;>250;0;7;25;Finance;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1001621;Bank form (without the employer's seal);Repair;0;0.3;male;2;0;Higher / Second higher / Academic degree;specialist;< 50;0;49;43;Finance;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1001641;Bank form (without the employer's seal);Repair;1;0.49;female;0;0;Higher;specialist;>250;0;6;24;Trade;Other form;single, not married;0;0;0;0;0;0.0566037736;0;0;0;0;0.5;2;2;50;4;0;0;7;33;1;0;0;0;0;0;0
1;1001661;personal income tax 2NDFL;Buying a car;1;0.59;female;0;0;*n.a.*;specialist;>250;1;8;28;Information Technology;Limited Liability Company   (ООО);divorced / divorced;6;6;6;6;6;0.1048034934;1;1;0;0;0.2777777778;5;13;205;18;3;1;3;93;1;0;0;0;0;0;0
1;1001681;Free form with the seal of the employer;Repair;0;0.4;female;1;0;average-специальное;specialist;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1001701;personal income tax 2NDFL;Repair;0;0.44;male;1;0;Higher / Second higher / Academic degree;specialist;>250;0;15;35;public service;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1001721;Bank form (without the employer's seal);Other;1;0.29;male;1;0;average-специальное;support staff;>250;0;55;26;Transport;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1001741;Receipt of salary in the account;Repair;0;0.23;male;0;0;Higher / Second higher / Academic degree;middle manager;>250;0;51;28;Information Technology;Limited Liability Company   (ООО);single, not married;0;0;0;0;0;0.2746478873;1;0;0;0;0.2;1;4;103;5;0;3;16;50;1;0;0;0;0;0;0
1;1001761;Receipt of salary in the account;Repair;0;0.44;female;0;0;Higher;specialist;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1001781;Bank form (without the employer's seal);Repair;1;0.28;male;0;0;average;support staff;>250;0;38;51;Transport;;;;;;;;;;;;;;;;;;;;;;;;;;;;
